Removed deepcopy for prob.calc.


         639643851 function calls (614879244 primitive calls) in 300.451 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   385049    0.043    0.000    0.043    0.000 {built-in method unicodedata.east_asian_width}
    72/11    0.000    0.000    0.042    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
    49/10    0.000    0.000    0.042    0.004 <frozen importlib._bootstrap_external>:989(exec_module)
       12    0.001    0.000    0.042    0.003 analytic_agent_player.py:140(print_move_statistics)
   172/23    0.000    0.000    0.040    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       54    0.000    0.000    0.036    0.001 statistics.py:468(mean)
       54    0.016    0.000    0.035    0.001 statistics.py:154(_sum)
    65871    0.034    0.000    0.034    0.000 {built-in method _bisect.bisect_right}
   228755    0.034    0.000    0.034    0.000 {built-in method builtins.id}
77353/77349    0.033    0.000    0.033    0.000 {built-in method __new__ of type object at 0x937f80}
        1    0.000    0.000    0.025    0.025 HumanPlayerWithAnalytics.py:1(<module>)
    22083    0.013    0.000    0.023    0.000 {method 'remove' of 'set' objects}
     1184    0.003    0.000    0.023    0.000 std.py:451(fp_write)
   105315    0.022    0.000    0.022    0.000 {method 'getrandbits' of '_random.Random' objects}
    53325    0.011    0.000    0.021    0.000 statistics.py:287(_exact_ratio)
        3    0.000    0.000    0.020    0.007 __init__.py:1(<module>)
     2392    0.002    0.000    0.020    0.000 utils.py:194(inner)
    66277    0.019    0.000    0.019    0.000 {method 'bit_length' of 'int' objects}
    77025    0.019    0.000    0.019    0.000 {method 'union' of 'set' objects}
    65879    0.019    0.000    0.019    0.000 {method 'random' of '_random.Random' objects}
    85283    0.018    0.000    0.018    0.000 {method 'values' of 'dict' objects}
    65871    0.018    0.000    0.018    0.000 {built-in method math.isfinite}
     1208    0.018    0.000    0.018    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       27    0.000    0.000    0.017    0.001 analytic_agent_player.py:137(<lambda>)
       27    0.000    0.000    0.017    0.001 statistics.py:959(stdev)
       27    0.008    0.000    0.016    0.001 statistics.py:208(_ss)
    33000    0.015    0.000    0.015    0.000 {method 'intersection' of 'set' objects}
     2428    0.008    0.000    0.014    0.000 {method 'format' of 'str' objects}
     8250    0.009    0.000    0.013    0.000 {method 'update' of 'set' objects}
    53325    0.011    0.000    0.011    0.000 {method 'as_integer_ratio' of 'float' objects}
       44    0.000    0.000    0.010    0.000 std.py:760(get_lock)
        1    0.000    0.000    0.010    0.010 std.py:90(__init__)
    34233    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.010    0.010 std.py:116(create_mp_lock)
       49    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.010    0.010 domino_game_tracker.py:1(<module>)
     2332    0.008    0.000    0.009    0.000 std.py:400(format_interval)
     2344    0.006    0.000    0.009    0.000 utils.py:273(_is_ascii)
    24954    0.009    0.000    0.009    0.000 {method 'get' of 'mappingproxy' objects}
    22/17    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      5/2    0.000    0.000    0.009    0.004 {built-in method builtins.__import__}
     6972    0.008    0.000    0.008    0.000 std.py:231(__call__)
        1    0.000    0.000    0.008    0.008 cli.py:1(<module>)
     1172    0.006    0.000    0.008    0.000 std.py:1446(format_dict)
    29844    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.007    0.007 context.py:1(<module>)
  165/163    0.002    0.000    0.006    0.000 {built-in method builtins.__build_class__}
      129    0.000    0.000    0.006    0.000 __init__.py:280(_compile)
       73    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    26953    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
     1252    0.003    0.000    0.006    0.000 std.py:102(acquire)
    18739    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
       15    0.000    0.000    0.006    0.000 _compiler.py:740(compile)
     1172    0.005    0.000    0.006    0.000 std.py:186(__format__)
       16    0.000    0.000    0.006    0.000 __init__.py:226(compile)
     3534    0.005    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.005    0.005 statistics.py:1(<module>)
        1    0.000    0.000    0.005    0.005 domino_game_analyzer.py:1(<module>)
     1160    0.005    0.000    0.005    0.000 {built-in method now}
       48    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       71    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       71    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.005    0.005 reduction.py:1(<module>)
    34760    0.004    0.000    0.004    0.000 copy.py:172(_deepcopy_atomic)
       48    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
     1252    0.003    0.000    0.004    0.000 std.py:106(release)
       12    0.000    0.000    0.004    0.000 std.py:952(__init__)
      196    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       72    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        4    0.000    0.000    0.004    0.001 dataclasses.py:1264(wrap)
        4    0.000    0.000    0.004    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.003    0.003 argparse.py:1764(__init__)
       15    0.000    0.000    0.003    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.003    0.003 fractions.py:1(<module>)
    64/15    0.000    0.000    0.003    0.000 _parser.py:452(_parse_sub)
    82/16    0.001    0.000    0.003    0.000 _parser.py:512(_parse)
    24858    0.003    0.000    0.003    0.000 enum.py:1287(name)
        2    0.000    0.000    0.003    0.001 argparse.py:1446(add_argument)
     3200    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.003    0.001 argparse.py:2622(_get_formatter)
        2    0.000    0.000    0.003    0.001 argparse.py:164(__init__)
        7    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
       27    0.000    0.000    0.003    0.000 statistics.py:738(mode)
    24758    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.003    0.003 context.py:70(RLock)
     2002    0.002    0.000    0.003    0.000 copyreg.py:98(__newobj__)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
       21    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.002    0.002 synchronize.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1054(source_to_code)
        1    0.002    0.002    0.002    0.002 {built-in method builtins.compile}
     1172    0.002    0.000    0.002    0.000 std.py:153(__init__)
       15    0.000    0.000    0.002    0.000 _compiler.py:573(_code)
      633    0.002    0.000    0.002    0.000 {built-in method builtins.print}
       20    0.000    0.000    0.002    0.000 dataclasses.py:449(_create_fn)
     5098    0.002    0.000    0.002    0.000 {built-in method time.time}
   169/15    0.001    0.000    0.002    0.000 _compiler.py:37(_compile)
       27    0.000    0.000    0.002    0.000 __init__.py:595(__init__)
        1    0.000    0.000    0.002    0.002 std.py:1(<module>)
       54    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
       27    0.000    0.000    0.002    0.000 statistics.py:601(median)
       27    0.000    0.000    0.002    0.000 __init__.py:669(update)
       64    0.000    0.000    0.002    0.000 _monitor.py:47(get_instances)
       27    0.002    0.000    0.002    0.000 {built-in method _collections._count_elements}
     1252    0.002    0.000    0.002    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        7    0.001    0.000    0.001    0.000 enum.py:1708(convert_class)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
     5836    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
      948    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       12    0.000    0.000    0.001    0.000 domino_game_tracker.py:48(domino_game_state_our_perspective)
       72    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       64    0.000    0.000    0.001    0.000 _weakrefset.py:95(copy)
      330    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      292    0.000    0.000    0.001    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.001    0.001 domino_probability_calc.py:1(<module>)
       83    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
      342    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       67    0.000    0.000    0.001    0.000 _weakrefset.py:37(__init__)
      189    0.000    0.000    0.001    0.000 fractions.py:613(forward)
       24    0.000    0.000    0.001    0.000 std.py:1265(close)
       12    0.000    0.000    0.001    0.000 analytic_agent_player.py:57(print_verbose_info)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.001    0.001 numbers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       27    0.000    0.000    0.001    0.000 __init__.py:618(most_common)
      135    0.000    0.000    0.001    0.000 fractions.py:627(reverse)
     1256    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
       64    0.000    0.000    0.001    0.000 _weakrefset.py:120(update)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 DominoGameState.py:1(<module>)
        4    0.000    0.000    0.001    0.000 dataclasses.py:1247(dataclass)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 numbers.py:319(Integral)
       46    0.001    0.000    0.001    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
       70    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        6    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
       50    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        4    0.000    0.000    0.001    0.000 dataclasses.py:568(_init_fn)
     1208    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1256    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
        3    0.000    0.000    0.001    0.000 dataclasses.py:638(_frozen_get_del_attr)
      378    0.000    0.000    0.001    0.000 fractions.py:186(__new__)
        5    0.000    0.000    0.001    0.000 inspect.py:3333(signature)
      336    0.000    0.000    0.001    0.000 domino_game_analyzer.py:34(new_tile)
        5    0.000    0.000    0.001    0.000 inspect.py:3071(from_callable)
       25    0.000    0.000    0.001    0.000 DominoGame.py:266(apply_move)
     1252    0.001    0.000    0.001    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
     13/5    0.000    0.000    0.001    0.000 inspect.py:2491(_signature_from_callable)
     1410    0.000    0.000    0.001    0.000 _parser.py:261(get)
    34/30    0.000    0.000    0.001    0.000 typing.py:392(inner)
       64    0.000    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       12    0.000    0.000    0.001    0.000 utils.py:333(_screen_shape_linux)
       21    0.000    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      107    0.000    0.000    0.001    0.000 __init__.py:164(match)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
      152    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
       21    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
       24    0.000    0.000    0.000    0.000 domino_game_analyzer.py:38(loi_to_domino_tiles)
       12    0.000    0.000    0.000    0.000 std.py:686(_decr_instances)
      991    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 std.py:245(tqdm)
     1172    0.000    0.000    0.000    0.000 utils.py:108(__init__)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       12    0.000    0.000    0.000    0.000 domino_utils.py:3(history_to_domino_tiles_history)
     1154    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 inspect.py:3287(__str__)
     1172    0.000    0.000    0.000    0.000 utils.py:112(__format__)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        4    0.000    0.000    0.000    0.000 dataclasses.py:627(_repr_fn)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      135    0.000    0.000    0.000    0.000 fractions.py:758(_div)
      108    0.000    0.000    0.000    0.000 statistics.py:203(<genexpr>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       80    0.000    0.000    0.000    0.000 std.py:110(__enter__)
     1208    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        4    0.000    0.000    0.000    0.000 dataclasses.py:661(_cmp_fn)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       73    0.000    0.000    0.000    0.000 __init__.py:103(find_spec)
        5    0.000    0.000    0.000    0.000 inspect.py:2387(_signature_from_function)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
   202/53    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       16    0.000    0.000    0.000    0.000 inspect.py:2820(__str__)
     1813    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1172    0.000    0.000    0.000    0.000 std.py:167(colour)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        8    0.000    0.000    0.000    0.000 enum.py:528(__new__)
      245    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       50    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
       20    0.000    0.000    0.000    0.000 inspect.py:1457(formatannotation)
       12    0.000    0.000    0.000    0.000 std.py:663(__new__)
     1994    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
       12    0.000    0.000    0.000    0.000 DominoPlayer.py:78(get_unplayed_tiles)
       12    0.000    0.000    0.000    0.000 typing.py:1260(__init__)
        3    0.000    0.000    0.000    0.000 gettext.py:616(gettext)
      8/4    0.000    0.000    0.000    0.000 typing.py:515(__getitem__)
      152    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
      301    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        3    0.000    0.000    0.000    0.000 gettext.py:578(dgettext)
     1722    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        4    0.000    0.000    0.000    0.000 typing.py:747(Optional)
        3    0.000    0.000    0.000    0.000 gettext.py:519(translation)
       80    0.000    0.000    0.000    0.000 std.py:113(__exit__)
      108    0.000    0.000    0.000    0.000 fractions.py:710(_add)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
     1606    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:479(find)
      324    0.000    0.000    0.000    0.000 fractions.py:317(_from_coprime_ints)
        3    0.000    0.000    0.000    0.000 argparse.py:1364(__init__)
      210    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1172    0.000    0.000    0.000    0.000 std.py:163(colour)
       78    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:34(envwrap)
     1048    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      382    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      381    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      384    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      383    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        4    0.000    0.000    0.000    0.000 typing.py:694(Union)
       37    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       27    0.000    0.000    0.000    0.000 statistics.py:425(_float_sqrt_of_frac)
        6    0.000    0.000    0.000    0.000 __init__.py:179(sub)
       12    0.000    0.000    0.000    0.000 DominoPlayer.py:146(next_move)
        1    0.000    0.000    0.000    0.000 argparse.py:1895(parse_args)
        8    0.000    0.000    0.000    0.000 typing.py:1476(copy_with)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.000    0.000 argparse.py:1902(parse_known_args)
        2    0.000    0.000    0.000    0.000 dataclasses.py:882(_hash_add)
       12    0.000    0.000    0.000    0.000 std.py:679(_get_free_pos)
       54    0.000    0.000    0.000    0.000 statistics.py:333(_convert)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1207(_cache_bytecode)
       30    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
        5    0.000    0.000    0.000    0.000 typing.py:1467(__getitem__)
      147    0.000    0.000    0.000    0.000 domino_common_knowledge.py:16(update_play)
        2    0.000    0.000    0.000    0.000 dataclasses.py:675(_hash_fn)
       65    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
      301    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 argparse.py:1940(_parse_known_args)
      152    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1212(set_data)
       27    0.000    0.000    0.000    0.000 heapq.py:523(nlargest)
        1    0.000    0.000    0.000    0.000 utils.py:76(wrap)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       26    0.000    0.000    0.000    0.000 DominoGame.py:236(is_round_over)
      125    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 argparse.py:2098(consume_positionals)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:195(_write_atomic)
       59    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      147    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
       51    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      105    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      968    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       12    0.000    0.000    0.000    0.000 utils.py:213(__init__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      621    0.000    0.000    0.000    0.000 {built-in method math.gcd}
       72    0.000    0.000    0.000    0.000 typing.py:1206(__setattr__)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       80    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       12    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
       79    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
       48    0.000    0.000    0.000    0.000 inspect.py:2733(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2251(_match_arguments_partial)
       54    0.000    0.000    0.000    0.000 fractions.py:742(_mul)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:110(remove)
      464    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       81    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.000    0.000 synchronize.py:193(__init__)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        9    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
